,name,mcc,time,transaction_value,time_interval_to_next,time_interval_from_last
31,people3,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 23:34:00,43,0 days 00:00:00.000000000,0 days 02:59:00.000000000
32,people4,Drug Stores and Pharmacies,2020-04-30 09:00:00,24,0 days 01:33:00.000000000,0 days 00:00:00.000000000
33,people4,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 10:33:00,38,0 days 00:14:00.000000000,0 days 01:33:00.000000000
34,people4,Fast Food Restaurants,2020-04-30 10:47:00,48,0 days 02:09:00.000000000,0 days 00:14:00.000000000
35,people4,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 12:56:00,52,0 days 02:29:00.000000000,0 days 02:09:00.000000000
36,people4,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:25:00,49,0 days 03:02:00.000000000,0 days 02:29:00.000000000
37,people4,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 18:27:00,20,0 days 00:50:00.000000000,0 days 03:02:00.000000000
38,people4,Fast Food Restaurants,2020-04-30 19:17:00,24,0 days 02:58:00.000000000,0 days 00:50:00.000000000
39,people4,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 22:15:00,70,0 days 00:00:00.000000000,0 days 02:58:00.000000000
40,people5,Book Stores,2020-04-30 09:00:00,30,0 days 02:11:00.000000000,0 days 00:00:00.000000000
41,people5,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:11:00,54,0 days 03:19:00.000000000,0 days 02:11:00.000000000
42,people5,Fast Food Restaurants,2020-04-30 14:30:00,48,0 days 03:01:00.000000000,0 days 03:19:00.000000000
43,people5,Bakeries,2020-04-30 17:31:00,43,0 days 00:05:00.000000000,0 days 03:01:00.000000000
44,people5,Drug Stores and Pharmacies,2020-04-30 17:36:00,65,0 days 00:51:00.000000000,0 days 00:05:00.000000000
45,people5,Fast Food Restaurants,2020-04-30 18:27:00,11,0 days 02:20:00.000000000,0 days 00:51:00.000000000
46,people5,Bakeries,2020-04-30 20:47:00,16,0 days 02:59:00.000000000,0 days 02:20:00.000000000
47,people5,Drug Stores and Pharmacies,2020-04-30 23:46:00,15,0 days 00:00:00.000000000,0 days 02:59:00.000000000
48,people6,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:00:00,16,0 days 01:16:00.000000000,0 days 00:00:00.000000000
49,people6,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 10:16:00,68,0 days 03:01:00.000000000,0 days 01:16:00.000000000
50,people6,Bakeries,2020-04-30 13:17:00,23,0 days 00:14:00.000000000,0 days 03:01:00.000000000
51,people6,"Grocery Stores, Supermarkets",2020-04-30 13:31:00,79,0 days 00:05:00.000000000,0 days 00:14:00.000000000
52,people6,Fast Food Restaurants,2020-04-30 13:36:00,61,0 days 00:10:00.000000000,0 days 00:05:00.000000000
53,people6,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:46:00,34,0 days 01:58:00.000000000,0 days 00:10:00.000000000
54,people6,Bakeries,2020-04-30 15:44:00,79,0 days 03:04:00.000000000,0 days 01:58:00.000000000
55,people6,"Grocery Stores, Supermarkets",2020-04-30 18:48:00,28,0 days 00:00:00.000000000,0 days 03:04:00.000000000
56,people7,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,24,0 days 00:02:00.000000000,0 days 00:00:00.000000000
57,people7,Drug Stores and Pharmacies,2020-04-30 09:02:00,19,0 days 00:04:00.000000000,0 days 00:02:00.000000000
58,people7,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:06:00,30,0 days 00:50:00.000000000,0 days 00:04:00.000000000
59,people7,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:56:00,25,0 days 02:43:00.000000000,0 days 00:50:00.000000000
60,people7,Bakeries,2020-04-30 12:39:00,59,0 days 03:17:00.000000000,0 days 02:43:00.000000000
61,people7,Drug Stores and Pharmacies,2020-04-30 15:56:00,31,0 days 02:17:00.000000000,0 days 03:17:00.000000000
62,people7,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 18:13:00,26,0 days 00:44:00.000000000,0 days 02:17:00.000000000
63,people7,"Grocery Stores, Supermarkets",2020-04-30 18:57:00,19,0 days 00:00:00.000000000,0 days 00:44:00.000000000
64,people8,Bakeries,2020-04-30 09:00:00,41,0 days 02:26:00.000000000,0 days 00:00:00.000000000
65,people8,Bakeries,2020-04-30 11:26:00,58,0 days 02:34:00.000000000,0 days 02:26:00.000000000
66,people8,"Grocery Stores, Supermarkets",2020-04-30 14:00:00,60,0 days 01:31:00.000000000,0 days 02:34:00.000000000
67,people8,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:31:00,76,0 days 00:02:00.000000000,0 days 01:31:00.000000000
68,people8,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:33:00,31,0 days 01:11:00.000000000,0 days 00:02:00.000000000
69,people8,Fast Food Restaurants,2020-04-30 16:44:00,24,0 days 02:03:00.000000000,0 days 01:11:00.000000000
70,people8,Drug Stores and Pharmacies,2020-04-30 18:47:00,57,0 days 02:01:00.000000000,0 days 02:03:00.000000000
71,people8,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 20:48:00,26,0 days 00:00:00.000000000,0 days 02:01:00.000000000
72,people9,Fast Food Restaurants,2020-04-30 09:00:00,15,0 days 01:30:00.000000000,0 days 00:00:00.000000000
73,people9,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 10:30:00,25,0 days 02:54:00.000000000,0 days 01:30:00.000000000
74,people9,Fast Food Restaurants,2020-04-30 13:24:00,30,0 days 00:58:00.000000000,0 days 02:54:00.000000000
75,people9,Drug Stores and Pharmacies,2020-04-30 14:22:00,72,0 days 00:44:00.000000000,0 days 00:58:00.000000000
76,people9,Fast Food Restaurants,2020-04-30 15:06:00,63,0 days 01:03:00.000000000,0 days 00:44:00.000000000
77,people9,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 16:09:00,31,0 days 03:16:00.000000000,0 days 01:03:00.000000000
78,people9,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 19:25:00,48,0 days 00:32:00.000000000,0 days 03:16:00.000000000
79,people9,Bakeries,2020-04-30 19:57:00,48,0 days 00:00:00.000000000,0 days 00:32:00.000000000
80,people10,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,65,0 days 00:12:00.000000000,0 days 00:00:00.000000000
81,people10,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:12:00,76,0 days 02:44:00.000000000,0 days 00:12:00.000000000
82,people10,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:56:00,66,0 days 00:04:00.000000000,0 days 02:44:00.000000000
83,people10,Fast Food Restaurants,2020-04-30 12:00:00,24,0 days 02:58:00.000000000,0 days 00:04:00.000000000
84,people10,Bakeries,2020-04-30 14:58:00,24,0 days 01:17:00.000000000,0 days 02:58:00.000000000
85,people10,"Grocery Stores, Supermarkets",2020-04-30 16:15:00,11,0 days 01:55:00.000000000,0 days 01:17:00.000000000
86,people10,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 18:10:00,66,0 days 02:19:00.000000000,0 days 01:55:00.000000000
87,people10,Fast Food Restaurants,2020-04-30 20:29:00,40,0 days 00:00:00.000000000,0 days 02:19:00.000000000
88,people11,Drug Stores and Pharmacies,2020-04-30 09:00:00,28,0 days 01:58:00.000000000,0 days 00:00:00.000000000
89,people11,Fast Food Restaurants,2020-04-30 10:58:00,54,0 days 01:13:00.000000000,0 days 01:58:00.000000000
90,people11,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:11:00,64,0 days 01:35:00.000000000,0 days 01:13:00.000000000
91,people11,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:46:00,76,0 days 01:54:00.000000000,0 days 01:35:00.000000000
92,people11,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 15:40:00,56,0 days 01:23:00.000000000,0 days 01:54:00.000000000
93,people11,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 17:03:00,53,0 days 03:15:00.000000000,0 days 01:23:00.000000000
94,people11,Fast Food Restaurants,2020-04-30 20:18:00,59,0 days 03:01:00.000000000,0 days 03:15:00.000000000
95,people11,Bakeries,2020-04-30 23:19:00,52,0 days 00:00:00.000000000,0 days 03:01:00.000000000
96,people12,Book Stores,2020-04-30 09:00:00,67,0 days 01:48:00.000000000,0 days 00:00:00.000000000
97,people12,Drug Stores and Pharmacies,2020-04-30 10:48:00,47,0 days 00:21:00.000000000,0 days 01:48:00.000000000
98,people12,Fast Food Restaurants,2020-04-30 11:09:00,40,0 days 00:52:00.000000000,0 days 00:21:00.000000000
99,people12,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:01:00,42,0 days 01:17:00.000000000,0 days 00:52:00.000000000
100,people12,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:18:00,29,0 days 00:30:00.000000000,0 days 01:17:00.000000000
101,people12,Fast Food Restaurants,2020-04-30 13:48:00,75,0 days 02:02:00.000000000,0 days 00:30:00.000000000
102,people12,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 15:50:00,55,0 days 00:46:00.000000000,0 days 02:02:00.000000000
103,people12,Drug Stores and Pharmacies,2020-04-30 16:36:00,17,0 days 00:00:00.000000000,0 days 00:46:00.000000000
104,people13,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:00:00,22,0 days 01:21:00.000000000,0 days 00:00:00.000000000
105,people13,Book Stores,2020-04-30 10:21:00,32,0 days 02:33:00.000000000,0 days 01:21:00.000000000
106,people13,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:54:00,27,0 days 01:03:00.000000000,0 days 02:33:00.000000000
107,people13,Fast Food Restaurants,2020-04-30 13:57:00,30,0 days 02:54:00.000000000,0 days 01:03:00.000000000
108,people13,Book Stores,2020-04-30 16:51:00,33,0 days 02:29:00.000000000,0 days 02:54:00.000000000
109,people13,Book Stores,2020-04-30 19:20:00,24,0 days 02:29:00.000000000,0 days 02:29:00.000000000
110,people13,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 21:49:00,68,0 days 02:15:00.000000000,0 days 02:29:00.000000000
111,people13,Bakeries,2020-05-01 00:04:00,43,0 days 00:00:00.000000000,0 days 02:15:00.000000000
112,people14,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,18,0 days 00:09:00.000000000,0 days 00:00:00.000000000
113,people14,Bakeries,2020-04-30 09:09:00,12,0 days 01:43:00.000000000,0 days 00:09:00.000000000
114,people14,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 10:52:00,41,0 days 01:00:00.000000000,0 days 01:43:00.000000000
115,people14,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:52:00,65,0 days 00:20:00.000000000,0 days 01:00:00.000000000
116,people14,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:12:00,36,0 days 02:16:00.000000000,0 days 00:20:00.000000000
117,people14,Bakeries,2020-04-30 14:28:00,16,0 days 02:53:00.000000000,0 days 02:16:00.000000000
118,people14,Fast Food Restaurants,2020-04-30 17:21:00,28,0 days 02:02:00.000000000,0 days 02:53:00.000000000
119,people14,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 19:23:00,33,0 days 00:00:00.000000000,0 days 02:02:00.000000000
120,people15,Bakeries,2020-04-30 09:00:00,46,0 days 00:23:00.000000000,0 days 00:00:00.000000000
121,people15,Bakeries,2020-04-30 09:23:00,37,0 days 03:08:00.000000000,0 days 00:23:00.000000000
122,people15,"Grocery Stores, Supermarkets",2020-04-30 12:31:00,28,0 days 00:01:00.000000000,0 days 03:08:00.000000000
123,people15,Drug Stores and Pharmacies,2020-04-30 12:32:00,15,0 days 00:15:00.000000000,0 days 00:01:00.000000000
124,people15,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:47:00,48,0 days 00:18:00.000000000,0 days 00:15:00.000000000
125,people15,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 13:05:00,58,0 days 00:16:00.000000000,0 days 00:18:00.000000000
126,people15,Book Stores,2020-04-30 13:21:00,51,0 days 01:29:00.000000000,0 days 00:16:00.000000000
127,people15,Book Stores,2020-04-30 14:50:00,10,0 days 00:00:00.000000000,0 days 01:29:00.000000000
128,people16,Fast Food Restaurants,2020-04-30 09:00:00,78,0 days 00:11:00.000000000,0 days 00:00:00.000000000
129,people16,Bakeries,2020-04-30 09:11:00,20,0 days 02:25:00.000000000,0 days 00:11:00.000000000
130,people16,Bakeries,2020-04-30 11:36:00,28,0 days 02:09:00.000000000,0 days 02:25:00.000000000
131,people16,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:45:00,16,0 days 01:41:00.000000000,0 days 02:09:00.000000000
132,people16,Fast Food Restaurants,2020-04-30 15:26:00,66,0 days 02:27:00.000000000,0 days 01:41:00.000000000
133,people16,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 17:53:00,36,0 days 01:03:00.000000000,0 days 02:27:00.000000000
134,people16,Fast Food Restaurants,2020-04-30 18:56:00,78,0 days 00:40:00.000000000,0 days 01:03:00.000000000
135,people16,Fast Food Restaurants,2020-04-30 19:36:00,45,0 days 00:00:00.000000000,0 days 00:40:00.000000000
136,people17,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,69,0 days 02:15:00.000000000,0 days 00:00:00.000000000
137,people17,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:15:00,22,0 days 01:40:00.000000000,0 days 02:15:00.000000000
138,people17,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 12:55:00,67,0 days 01:23:00.000000000,0 days 01:40:00.000000000
139,people17,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 14:18:00,47,0 days 01:52:00.000000000,0 days 01:23:00.000000000
140,people17,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 16:10:00,46,0 days 00:02:00.000000000,0 days 01:52:00.000000000
141,people17,Fast Food Restaurants,2020-04-30 16:12:00,52,0 days 01:39:00.000000000,0 days 00:02:00.000000000
142,people17,Bakeries,2020-04-30 17:51:00,23,0 days 01:29:00.000000000,0 days 01:39:00.000000000
143,people17,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 19:20:00,14,0 days 00:00:00.000000000,0 days 01:29:00.000000000
144,people18,Drug Stores and Pharmacies,2020-04-30 09:00:00,12,0 days 01:47:00.000000000,0 days 00:00:00.000000000
145,people18,"Grocery Stores, Supermarkets",2020-04-30 10:47:00,26,0 days 00:49:00.000000000,0 days 01:47:00.000000000
146,people18,"Grocery Stores, Supermarkets",2020-04-30 11:36:00,29,0 days 01:39:00.000000000,0 days 00:49:00.000000000
147,people18,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:15:00,34,0 days 02:43:00.000000000,0 days 01:39:00.000000000
148,people18,Fast Food Restaurants,2020-04-30 15:58:00,64,0 days 02:12:00.000000000,0 days 02:43:00.000000000
149,people18,Drug Stores and Pharmacies,2020-04-30 18:10:00,24,0 days 01:28:00.000000000,0 days 02:12:00.000000000
150,people18,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 19:38:00,71,0 days 01:44:00.000000000,0 days 01:28:00.000000000
151,people18,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 21:22:00,65,0 days 00:00:00.000000000,0 days 01:44:00.000000000
152,people19,Book Stores,2020-04-30 09:00:00,68,0 days 02:00:00.000000000,0 days 00:00:00.000000000
153,people19,Drug Stores and Pharmacies,2020-04-30 11:00:00,50,0 days 02:46:00.000000000,0 days 02:00:00.000000000
154,people19,Fast Food Restaurants,2020-04-30 13:46:00,26,0 days 03:04:00.000000000,0 days 02:46:00.000000000
155,people19,Drug Stores and Pharmacies,2020-04-30 16:50:00,38,0 days 00:30:00.000000000,0 days 03:04:00.000000000
156,people19,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 17:20:00,62,0 days 02:44:00.000000000,0 days 00:30:00.000000000
157,people19,Drug Stores and Pharmacies,2020-04-30 20:04:00,55,0 days 02:57:00.000000000,0 days 02:44:00.000000000
158,people19,Drug Stores and Pharmacies,2020-04-30 23:01:00,31,0 days 02:33:00.000000000,0 days 02:57:00.000000000
159,people19,Fast Food Restaurants,2020-05-01 01:34:00,22,0 days 00:00:00.000000000,0 days 02:33:00.000000000
160,people20,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:00:00,48,0 days 00:13:00.000000000,0 days 00:00:00.000000000
161,people20,Bakeries,2020-04-30 09:13:00,27,0 days 02:14:00.000000000,0 days 00:13:00.000000000
162,people20,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:27:00,77,0 days 02:04:00.000000000,0 days 02:14:00.000000000
163,people20,Fast Food Restaurants,2020-04-30 13:31:00,62,0 days 02:49:00.000000000,0 days 02:04:00.000000000
164,people20,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 16:20:00,42,0 days 01:38:00.000000000,0 days 02:49:00.000000000
165,people20,Fast Food Restaurants,2020-04-30 17:58:00,39,0 days 00:13:00.000000000,0 days 01:38:00.000000000
166,people20,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 18:11:00,23,0 days 02:24:00.000000000,0 days 00:13:00.000000000
167,people20,Fast Food Restaurants,2020-04-30 20:35:00,28,0 days 00:00:00.000000000,0 days 02:24:00.000000000
168,people21,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,70,0 days 00:02:00.000000000,0 days 00:00:00.000000000
169,people21,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:02:00,77,0 days 00:46:00.000000000,0 days 00:02:00.000000000
170,people21,Bakeries,2020-04-30 09:48:00,74,0 days 00:04:00.000000000,0 days 00:46:00.000000000
171,people21,"Grocery Stores, Supermarkets",2020-04-30 09:52:00,43,0 days 00:31:00.000000000,0 days 00:04:00.000000000
172,people21,"Grocery Stores, Supermarkets",2020-04-30 10:23:00,64,0 days 00:47:00.000000000,0 days 00:31:00.000000000
173,people21,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:10:00,46,0 days 02:31:00.000000000,0 days 00:47:00.000000000
174,people21,Fast Food Restaurants,2020-04-30 13:41:00,62,0 days 03:09:00.000000000,0 days 02:31:00.000000000
175,people21,Drug Stores and Pharmacies,2020-04-30 16:50:00,16,0 days 00:00:00.000000000,0 days 03:09:00.000000000
176,people22,Bakeries,2020-04-30 09:00:00,56,0 days 02:47:00.000000000,0 days 00:00:00.000000000
177,people22,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:47:00,12,0 days 02:40:00.000000000,0 days 02:47:00.000000000
178,people22,Fast Food Restaurants,2020-04-30 14:27:00,68,0 days 00:58:00.000000000,0 days 02:40:00.000000000
179,people22,Bakeries,2020-04-30 15:25:00,35,0 days 02:50:00.000000000,0 days 00:58:00.000000000
180,people22,Fast Food Restaurants,2020-04-30 18:15:00,78,0 days 02:53:00.000000000,0 days 02:50:00.000000000
181,people22,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 21:08:00,52,0 days 03:13:00.000000000,0 days 02:53:00.000000000
182,people22,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 00:21:00,10,0 days 01:05:00.000000000,0 days 03:13:00.000000000
183,people22,Bakeries,2020-05-01 01:26:00,25,0 days 00:00:00.000000000,0 days 01:05:00.000000000
184,people23,Fast Food Restaurants,2020-04-30 09:00:00,74,0 days 00:14:00.000000000,0 days 00:00:00.000000000
185,people23,Bakeries,2020-04-30 09:14:00,42,0 days 02:48:00.000000000,0 days 00:14:00.000000000
186,people23,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 12:02:00,64,0 days 01:16:00.000000000,0 days 02:48:00.000000000
187,people23,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 13:18:00,10,0 days 01:28:00.000000000,0 days 01:16:00.000000000
188,people23,Book Stores,2020-04-30 14:46:00,48,0 days 02:31:00.000000000,0 days 01:28:00.000000000
189,people23,Fast Food Restaurants,2020-04-30 17:17:00,79,0 days 02:28:00.000000000,0 days 02:31:00.000000000
190,people23,Drug Stores and Pharmacies,2020-04-30 19:45:00,21,0 days 02:29:00.000000000,0 days 02:28:00.000000000
191,people23,Drug Stores and Pharmacies,2020-04-30 22:14:00,15,0 days 00:00:00.000000000,0 days 02:29:00.000000000
192,people24,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,76,0 days 02:52:00.000000000,0 days 00:00:00.000000000
193,people24,Fast Food Restaurants,2020-04-30 11:52:00,13,0 days 02:05:00.000000000,0 days 02:52:00.000000000
194,people24,Drug Stores and Pharmacies,2020-04-30 13:57:00,59,0 days 02:51:00.000000000,0 days 02:05:00.000000000
195,people24,Fast Food Restaurants,2020-04-30 16:48:00,15,0 days 00:56:00.000000000,0 days 02:51:00.000000000
196,people24,Drug Stores and Pharmacies,2020-04-30 17:44:00,20,0 days 01:00:00.000000000,0 days 00:56:00.000000000
197,people24,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 18:44:00,31,0 days 00:59:00.000000000,0 days 01:00:00.000000000
198,people24,Fast Food Restaurants,2020-04-30 19:43:00,61,0 days 01:51:00.000000000,0 days 00:59:00.000000000
199,people24,Book Stores,2020-04-30 21:34:00,29,0 days 00:00:00.000000000,0 days 01:51:00.000000000
200,people25,Drug Stores and Pharmacies,2020-04-30 09:00:00,63,0 days 02:51:00.000000000,0 days 00:00:00.000000000
201,people25,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:51:00,75,0 days 01:44:00.000000000,0 days 02:51:00.000000000
202,people25,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 13:35:00,49,0 days 02:27:00.000000000,0 days 01:44:00.000000000
203,people25,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 16:02:00,51,0 days 00:41:00.000000000,0 days 02:27:00.000000000
