,date,total_transaction,avg_transaction
140,2020-04-27 22:00:00,5606,776
141,2020-04-27 22:30:00,7578,754
142,2020-04-27 23:00:00,6210,791
143,2020-04-27 23:30:00,8392,614
144,2020-04-28 00:00:00,6491,654
145,2020-04-28 00:30:00,6744,646
146,2020-04-28 01:00:00,6195,530
147,2020-04-28 01:30:00,9389,733
148,2020-04-28 02:00:00,7970,935
149,2020-04-28 02:30:00,6301,571
150,2020-04-28 03:00:00,8723,920
151,2020-04-28 03:30:00,6752,501
152,2020-04-28 04:00:00,9376,550
153,2020-04-28 04:30:00,7950,839
154,2020-04-28 05:00:00,6585,641
155,2020-04-28 05:30:00,8141,980
156,2020-04-28 06:00:00,7210,990
157,2020-04-28 06:30:00,5054,684
158,2020-04-28 07:00:00,5534,926
159,2020-04-28 07:30:00,9585,871
160,2020-04-28 08:00:00,7546,591
161,2020-04-28 08:30:00,7856,774
162,2020-04-28 09:00:00,8381,795
163,2020-04-28 09:30:00,8047,763
164,2020-04-28 10:00:00,5959,942
165,2020-04-28 10:30:00,7551,983
166,2020-04-28 11:00:00,7596,642
167,2020-04-28 11:30:00,7594,584
168,2020-04-28 12:00:00,9160,801
169,2020-04-28 12:30:00,7289,794
170,2020-04-28 13:00:00,7896,553
171,2020-04-28 13:30:00,9089,954
172,2020-04-28 14:00:00,7175,651
173,2020-04-28 14:30:00,6874,937
174,2020-04-28 15:00:00,5620,577
175,2020-04-28 15:30:00,5443,823
176,2020-04-28 16:00:00,6153,779
177,2020-04-28 16:30:00,8362,699
178,2020-04-28 17:00:00,8063,980
179,2020-04-28 17:30:00,7572,770
180,2020-04-28 18:00:00,5275,632
181,2020-04-28 18:30:00,8709,891
182,2020-04-28 19:00:00,8145,761
183,2020-04-28 19:30:00,9301,806
184,2020-04-28 20:00:00,9637,598
185,2020-04-28 20:30:00,5926,704
186,2020-04-28 21:00:00,5232,781
187,2020-04-28 21:30:00,6673,577
188,2020-04-28 22:00:00,6557,572
189,2020-04-28 22:30:00,5801,708
190,2020-04-28 23:00:00,6235,986
191,2020-04-28 23:30:00,9739,718
192,2020-04-29 00:00:00,6638,821
193,2020-04-29 00:30:00,8844,876
194,2020-04-29 01:00:00,9848,703
195,2020-04-29 01:30:00,5211,807
196,2020-04-29 02:00:00,5205,888
197,2020-04-29 02:30:00,9752,503
198,2020-04-29 03:00:00,5451,848
199,2020-04-29 03:30:00,5311,604
200,2020-04-29 04:00:00,9507,516
201,2020-04-29 04:30:00,9355,981
202,2020-04-29 05:00:00,6381,836
203,2020-04-29 05:30:00,5945,585
204,2020-04-29 06:00:00,8873,687
205,2020-04-29 06:30:00,5579,865
206,2020-04-29 07:00:00,8864,785
207,2020-04-29 07:30:00,6461,617
208,2020-04-29 08:00:00,8604,961
209,2020-04-29 08:30:00,8549,963
210,2020-04-29 09:00:00,7127,769
211,2020-04-29 09:30:00,5199,821
212,2020-04-29 10:00:00,6139,559
213,2020-04-29 10:30:00,6761,907
214,2020-04-29 11:00:00,9314,986
215,2020-04-29 11:30:00,7656,859
216,2020-04-29 12:00:00,5299,824
217,2020-04-29 12:30:00,9804,702
218,2020-04-29 13:00:00,7787,988
219,2020-04-29 13:30:00,8705,941
220,2020-04-29 14:00:00,5970,677
221,2020-04-29 14:30:00,8292,519
222,2020-04-29 15:00:00,6979,864
223,2020-04-29 15:30:00,5305,797
224,2020-04-29 16:00:00,5228,772
225,2020-04-29 16:30:00,7319,756
226,2020-04-29 17:00:00,8227,936
227,2020-04-29 17:30:00,6165,956
228,2020-04-29 18:00:00,8239,627
229,2020-04-29 18:30:00,9273,658
230,2020-04-29 19:00:00,5574,520
231,2020-04-29 19:30:00,6319,967
232,2020-04-29 20:00:00,5496,681
233,2020-04-29 20:30:00,6763,924
234,2020-04-29 21:00:00,8428,896
235,2020-04-29 21:30:00,8533,952
236,2020-04-29 22:00:00,6812,655
237,2020-04-29 22:30:00,8020,767
238,2020-04-29 23:00:00,9169,698
239,2020-04-29 23:30:00,6057,544
240,2020-04-30 00:00:00,9945,931
241,2020-04-30 00:30:00,7409,595
242,2020-04-30 01:00:00,9699,729
243,2020-04-30 01:30:00,9150,504
244,2020-04-30 02:00:00,6423,852
245,2020-04-30 02:30:00,9944,613
246,2020-04-30 03:00:00,8229,609
247,2020-04-30 03:30:00,7879,806
248,2020-04-30 04:00:00,9451,648
249,2020-04-30 04:30:00,9265,833
250,2020-04-30 05:00:00,9154,736
251,2020-04-30 05:30:00,9808,776
252,2020-04-30 06:00:00,8564,779
253,2020-04-30 06:30:00,7060,580
254,2020-04-30 07:00:00,8998,864
255,2020-04-30 07:30:00,6432,509
256,2020-04-30 08:00:00,8157,916
257,2020-04-30 08:30:00,5530,542
258,2020-04-30 09:00:00,6013,529
259,2020-04-30 09:30:00,8191,841
260,2020-04-30 10:00:00,5440,886
261,2020-04-30 10:30:00,8226,838
262,2020-04-30 11:00:00,7615,892
263,2020-04-30 11:30:00,9136,532
264,2020-04-30 12:00:00,5691,711
265,2020-04-30 12:30:00,6592,728
266,2020-04-30 13:00:00,5020,676
267,2020-04-30 13:30:00,6208,695
268,2020-04-30 14:00:00,7007,798
269,2020-04-30 14:30:00,9472,549
270,2020-04-30 15:00:00,9565,906
271,2020-04-30 15:30:00,7026,731
272,2020-04-30 16:00:00,7344,696
273,2020-04-30 16:30:00,7666,544
274,2020-04-30 17:00:00,9862,703
275,2020-04-30 17:30:00,7312,749
276,2020-04-30 18:00:00,6587,770
277,2020-04-30 18:30:00,5301,928
278,2020-04-30 19:00:00,8091,574
279,2020-04-30 19:30:00,6855,853
280,2020-04-30 20:00:00,8151,633
281,2020-04-30 20:30:00,8510,513
282,2020-04-30 21:00:00,9899,624
283,2020-04-30 21:30:00,8433,638
284,2020-04-30 22:00:00,7816,811
285,2020-04-30 22:30:00,6049,785
286,2020-04-30 23:00:00,8814,852
287,2020-04-30 23:30:00,5832,793
288,2020-05-01 00:00:00,9617,542
