,date,data
116,2020-04-24 20:00:00,9664
117,2020-04-24 21:00:00,9185
118,2020-04-24 22:00:00,7786
119,2020-04-24 23:00:00,5366
120,2020-04-25 00:00:00,6524
121,2020-04-25 01:00:00,7325
122,2020-04-25 02:00:00,6345
123,2020-04-25 03:00:00,7280
124,2020-04-25 04:00:00,5266
125,2020-04-25 05:00:00,7630
126,2020-04-25 06:00:00,7324
127,2020-04-25 07:00:00,6001
128,2020-04-25 08:00:00,9218
129,2020-04-25 09:00:00,5062
130,2020-04-25 10:00:00,6882
131,2020-04-25 11:00:00,6899
132,2020-04-25 12:00:00,9743
133,2020-04-25 13:00:00,8874
134,2020-04-25 14:00:00,8764
135,2020-04-25 15:00:00,5880
136,2020-04-25 16:00:00,8967
137,2020-04-25 17:00:00,6296
138,2020-04-25 18:00:00,9590
139,2020-04-25 19:00:00,7441
140,2020-04-25 20:00:00,7977
141,2020-04-25 21:00:00,8798
142,2020-04-25 22:00:00,7862
143,2020-04-25 23:00:00,9952
144,2020-04-26 00:00:00,5727
145,2020-04-26 01:00:00,7114
146,2020-04-26 02:00:00,7053
147,2020-04-26 03:00:00,6030
148,2020-04-26 04:00:00,6384
149,2020-04-26 05:00:00,7479
150,2020-04-26 06:00:00,7595
151,2020-04-26 07:00:00,7023
152,2020-04-26 08:00:00,9454
153,2020-04-26 09:00:00,8520
154,2020-04-26 10:00:00,7056
155,2020-04-26 11:00:00,9274
156,2020-04-26 12:00:00,9105
157,2020-04-26 13:00:00,9872
158,2020-04-26 14:00:00,5269
159,2020-04-26 15:00:00,5163
160,2020-04-26 16:00:00,6438
161,2020-04-26 17:00:00,5052
162,2020-04-26 18:00:00,7233
163,2020-04-26 19:00:00,6429
164,2020-04-26 20:00:00,8694
165,2020-04-26 21:00:00,9558
166,2020-04-26 22:00:00,8951
167,2020-04-26 23:00:00,7017
168,2020-04-27 00:00:00,5300
169,2020-04-27 01:00:00,7477
170,2020-04-27 02:00:00,6134
171,2020-04-27 03:00:00,6974
172,2020-04-27 04:00:00,5145
173,2020-04-27 05:00:00,5607
174,2020-04-27 06:00:00,9380
175,2020-04-27 07:00:00,8115
176,2020-04-27 08:00:00,5279
177,2020-04-27 09:00:00,6945
178,2020-04-27 10:00:00,8543
179,2020-04-27 11:00:00,7942
180,2020-04-27 12:00:00,7273
181,2020-04-27 13:00:00,8606
182,2020-04-27 14:00:00,9182
183,2020-04-27 15:00:00,9078
184,2020-04-27 16:00:00,7842
185,2020-04-27 17:00:00,5829
186,2020-04-27 18:00:00,7950
187,2020-04-27 19:00:00,5748
188,2020-04-27 20:00:00,8508
189,2020-04-27 21:00:00,6425
190,2020-04-27 22:00:00,8514
191,2020-04-27 23:00:00,5044
192,2020-04-28 00:00:00,6897
193,2020-04-28 01:00:00,8438
194,2020-04-28 02:00:00,8296
195,2020-04-28 03:00:00,6971
196,2020-04-28 04:00:00,6370
197,2020-04-28 05:00:00,9935
198,2020-04-28 06:00:00,7243
199,2020-04-28 07:00:00,6359
200,2020-04-28 08:00:00,6448
201,2020-04-28 09:00:00,7952
202,2020-04-28 10:00:00,7914
203,2020-04-28 11:00:00,6564
204,2020-04-28 12:00:00,6162
205,2020-04-28 13:00:00,9969
206,2020-04-28 14:00:00,9554
207,2020-04-28 15:00:00,6776
208,2020-04-28 16:00:00,5245
209,2020-04-28 17:00:00,7398
210,2020-04-28 18:00:00,8289
211,2020-04-28 19:00:00,8216
212,2020-04-28 20:00:00,5518
213,2020-04-28 21:00:00,8027
214,2020-04-28 22:00:00,6344
215,2020-04-28 23:00:00,6299
216,2020-04-29 00:00:00,9844
217,2020-04-29 01:00:00,9801
218,2020-04-29 02:00:00,9914
219,2020-04-29 03:00:00,7902
220,2020-04-29 04:00:00,6323
221,2020-04-29 05:00:00,8065
222,2020-04-29 06:00:00,9879
223,2020-04-29 07:00:00,7528
224,2020-04-29 08:00:00,7545
225,2020-04-29 09:00:00,7673
226,2020-04-29 10:00:00,6741
227,2020-04-29 11:00:00,9427
228,2020-04-29 12:00:00,6870
229,2020-04-29 13:00:00,8887
230,2020-04-29 14:00:00,5391
231,2020-04-29 15:00:00,5740
232,2020-04-29 16:00:00,5391
233,2020-04-29 17:00:00,9246
234,2020-04-29 18:00:00,5994
235,2020-04-29 19:00:00,8447
236,2020-04-29 20:00:00,6601
237,2020-04-29 21:00:00,5471
238,2020-04-29 22:00:00,8056
239,2020-04-29 23:00:00,6213
240,2020-04-30 00:00:00,8259
241,2020-04-30 01:00:00,5460
242,2020-04-30 02:00:00,5731
243,2020-04-30 03:00:00,5066
244,2020-04-30 04:00:00,8602
245,2020-04-30 05:00:00,9784
246,2020-04-30 06:00:00,6187
247,2020-04-30 07:00:00,9087
248,2020-04-30 08:00:00,5949
249,2020-04-30 09:00:00,9673
250,2020-04-30 10:00:00,5970
251,2020-04-30 11:00:00,7306
252,2020-04-30 12:00:00,9262
253,2020-04-30 13:00:00,8834
254,2020-04-30 14:00:00,7912
255,2020-04-30 15:00:00,8195
256,2020-04-30 16:00:00,7074
257,2020-04-30 17:00:00,8748
258,2020-04-30 18:00:00,7834
259,2020-04-30 19:00:00,5627
260,2020-04-30 20:00:00,9169
261,2020-04-30 21:00:00,9425
262,2020-04-30 22:00:00,6010
263,2020-04-30 23:00:00,7313
264,2020-05-01 00:00:00,8506
