,name,mcc,time,transaction_value
42,people3,Drug Stores and Pharmacies,2020-04-30 18:30:00,49
43,people3,Drug Stores and Pharmacies,2020-04-30 20:41:00,25
44,people4,Drug Stores and Pharmacies,2020-04-30 09:00:00,45
45,people4,Drug Stores and Pharmacies,2020-04-30 10:25:00,61
46,people4,Bakeries,2020-04-30 11:51:00,21
47,people4,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 15:09:00,25
48,people4,Book Stores,2020-04-30 17:02:00,54
49,people4,Fast Food Restaurants,2020-04-30 17:09:00,66
50,people4,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 18:20:00,43
51,people4,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 20:13:00,26
52,people4,Bakeries,2020-04-30 22:42:00,42
53,people4,Book Stores,2020-05-01 00:43:00,36
54,people4,Fast Food Restaurants,2020-05-01 01:28:00,30
55,people5,Book Stores,2020-04-30 09:00:00,26
56,people5,Bakeries,2020-04-30 11:19:00,31
57,people5,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:30:00,51
58,people5,Drug Stores and Pharmacies,2020-04-30 13:26:00,27
59,people5,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 14:50:00,23
60,people5,Bakeries,2020-04-30 16:29:00,12
61,people5,Drug Stores and Pharmacies,2020-04-30 16:44:00,64
62,people5,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 19:30:00,76
63,people5,Bakeries,2020-04-30 20:43:00,19
64,people5,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 22:58:00,34
65,people5,"Grocery Stores, Supermarkets",2020-05-01 00:55:00,65
66,people6,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:00:00,50
67,people6,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:37:00,18
68,people6,Bakeries,2020-04-30 14:17:00,51
69,people6,Book Stores,2020-04-30 17:35:00,42
70,people6,Bakeries,2020-04-30 19:14:00,52
71,people6,Book Stores,2020-04-30 20:36:00,58
72,people6,Book Stores,2020-04-30 20:59:00,27
73,people6,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 23:16:00,43
74,people6,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 23:58:00,70
75,people6,Fast Food Restaurants,2020-05-01 00:39:00,49
76,people6,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-05-01 03:41:00,35
77,people7,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,19
78,people7,Drug Stores and Pharmacies,2020-04-30 09:20:00,77
79,people7,Book Stores,2020-04-30 12:24:00,56
80,people7,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:36:00,48
81,people7,Fast Food Restaurants,2020-04-30 16:07:00,46
82,people7,Fast Food Restaurants,2020-04-30 16:17:00,54
83,people7,Fast Food Restaurants,2020-04-30 17:38:00,18
84,people7,Fast Food Restaurants,2020-04-30 20:53:00,51
85,people7,Fast Food Restaurants,2020-04-30 21:36:00,58
86,people7,Bakeries,2020-04-30 23:48:00,37
87,people7,Book Stores,2020-05-01 01:47:00,74
88,people8,Bakeries,2020-04-30 09:00:00,65
89,people8,Book Stores,2020-04-30 11:02:00,70
90,people8,Fast Food Restaurants,2020-04-30 14:21:00,27
91,people8,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 14:49:00,16
92,people8,Bakeries,2020-04-30 15:12:00,31
93,people8,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:25:00,31
94,people8,Fast Food Restaurants,2020-04-30 17:40:00,57
95,people8,Fast Food Restaurants,2020-04-30 20:45:00,34
96,people8,Fast Food Restaurants,2020-04-30 22:21:00,24
97,people8,Drug Stores and Pharmacies,2020-04-30 23:21:00,20
98,people8,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-05-01 00:52:00,47
99,people9,Fast Food Restaurants,2020-04-30 09:00:00,57
100,people9,Drug Stores and Pharmacies,2020-04-30 10:17:00,11
101,people9,Fast Food Restaurants,2020-04-30 11:18:00,57
102,people9,Bakeries,2020-04-30 14:31:00,48
103,people9,Drug Stores and Pharmacies,2020-04-30 16:38:00,49
104,people9,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 19:10:00,49
105,people9,Fast Food Restaurants,2020-04-30 21:28:00,16
106,people9,Fast Food Restaurants,2020-04-30 22:32:00,46
107,people9,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 22:35:00,43
108,people9,Bakeries,2020-05-01 01:44:00,39
109,people9,"Grocery Stores, Supermarkets",2020-05-01 04:30:00,67
110,people10,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,58
111,people10,Bakeries,2020-04-30 09:25:00,62
112,people10,Drug Stores and Pharmacies,2020-04-30 10:34:00,46
113,people10,Drug Stores and Pharmacies,2020-04-30 11:34:00,54
114,people10,Drug Stores and Pharmacies,2020-04-30 12:26:00,27
115,people10,"Grocery Stores, Supermarkets",2020-04-30 14:45:00,38
116,people10,Fast Food Restaurants,2020-04-30 17:26:00,21
117,people10,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 19:48:00,75
118,people10,Fast Food Restaurants,2020-04-30 21:46:00,62
119,people10,Fast Food Restaurants,2020-05-01 00:42:00,47
120,people10,Fast Food Restaurants,2020-05-01 02:33:00,68
121,people11,Drug Stores and Pharmacies,2020-04-30 09:00:00,77
122,people11,"Grocery Stores, Supermarkets",2020-04-30 11:22:00,52
123,people11,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 13:00:00,68
124,people11,Book Stores,2020-04-30 13:58:00,26
125,people11,Bakeries,2020-04-30 16:16:00,53
126,people11,Bakeries,2020-04-30 18:27:00,15
127,people11,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 21:15:00,46
128,people11,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 23:29:00,76
129,people11,Book Stores,2020-05-01 00:37:00,79
130,people11,Book Stores,2020-05-01 00:56:00,61
131,people11,Fast Food Restaurants,2020-05-01 03:46:00,30
132,people12,Book Stores,2020-04-30 09:00:00,68
133,people12,Fast Food Restaurants,2020-04-30 11:19:00,19
134,people12,Fast Food Restaurants,2020-04-30 11:44:00,49
135,people12,Book Stores,2020-04-30 14:27:00,24
136,people12,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 14:40:00,34
137,people12,Bakeries,2020-04-30 17:51:00,74
138,people12,Drug Stores and Pharmacies,2020-04-30 20:12:00,25
139,people12,Drug Stores and Pharmacies,2020-04-30 20:22:00,37
140,people12,Drug Stores and Pharmacies,2020-04-30 20:57:00,49
141,people12,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 21:14:00,23
142,people12,"Grocery Stores, Supermarkets",2020-04-30 23:44:00,30
143,people13,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:00:00,20
144,people13,Drug Stores and Pharmacies,2020-04-30 10:45:00,75
145,people13,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 11:33:00,45
146,people13,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:45:00,45
147,people13,Bakeries,2020-04-30 15:17:00,60
148,people13,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 16:03:00,15
149,people13,Book Stores,2020-04-30 17:33:00,52
150,people13,Book Stores,2020-04-30 19:04:00,35
151,people13,Fast Food Restaurants,2020-04-30 20:37:00,50
152,people13,Fast Food Restaurants,2020-04-30 20:58:00,49
153,people13,Fast Food Restaurants,2020-04-30 21:21:00,47
154,people14,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,68
155,people14,Fast Food Restaurants,2020-04-30 09:01:00,50
156,people14,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:50:00,60
157,people14,Bakeries,2020-04-30 11:25:00,31
158,people14,Drug Stores and Pharmacies,2020-04-30 11:35:00,71
159,people14,Drug Stores and Pharmacies,2020-04-30 13:24:00,52
160,people14,Drug Stores and Pharmacies,2020-04-30 15:51:00,17
161,people14,Drug Stores and Pharmacies,2020-04-30 17:41:00,61
162,people14,Fast Food Restaurants,2020-04-30 18:11:00,31
163,people14,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 21:01:00,50
164,people14,Bakeries,2020-05-01 00:08:00,26
165,people15,Bakeries,2020-04-30 09:00:00,24
166,people15,Drug Stores and Pharmacies,2020-04-30 12:15:00,63
167,people15,"Grocery Stores, Supermarkets",2020-04-30 13:57:00,36
168,people15,Fast Food Restaurants,2020-04-30 14:04:00,45
169,people15,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 17:06:00,49
170,people15,Book Stores,2020-04-30 19:55:00,78
171,people15,Fast Food Restaurants,2020-04-30 20:59:00,73
172,people15,Fast Food Restaurants,2020-05-01 00:04:00,35
173,people15,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-05-01 03:01:00,71
174,people15,Bakeries,2020-05-01 05:07:00,57
175,people15,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 07:34:00,54
176,people16,Fast Food Restaurants,2020-04-30 09:00:00,22
177,people16,Bakeries,2020-04-30 10:33:00,55
178,people16,"Grocery Stores, Supermarkets",2020-04-30 10:35:00,73
179,people16,Bakeries,2020-04-30 11:39:00,58
180,people16,Drug Stores and Pharmacies,2020-04-30 13:12:00,34
181,people16,Book Stores,2020-04-30 14:52:00,78
182,people16,Bakeries,2020-04-30 18:06:00,26
183,people16,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 19:46:00,65
184,people16,Bakeries,2020-04-30 21:25:00,39
185,people16,Fast Food Restaurants,2020-04-30 21:50:00,61
186,people16,Fast Food Restaurants,2020-04-30 22:25:00,12
187,people17,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,44
188,people17,Bakeries,2020-04-30 09:47:00,27
189,people17,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 12:38:00,58
190,people17,"Grocery Stores, Supermarkets",2020-04-30 14:38:00,33
191,people17,Bakeries,2020-04-30 16:29:00,79
192,people17,"Grocery Stores, Supermarkets",2020-04-30 17:26:00,39
193,people17,Drug Stores and Pharmacies,2020-04-30 18:51:00,15
194,people17,Fast Food Restaurants,2020-04-30 20:50:00,32
195,people17,Fast Food Restaurants,2020-04-30 21:29:00,50
196,people17,Fast Food Restaurants,2020-05-01 00:29:00,47
197,people17,Bakeries,2020-05-01 02:05:00,34
198,people18,Drug Stores and Pharmacies,2020-04-30 09:00:00,18
199,people18,Bakeries,2020-04-30 10:06:00,50
200,people18,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 11:37:00,14
201,people18,Bakeries,2020-04-30 13:18:00,69
202,people18,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:39:00,50
203,people18,Drug Stores and Pharmacies,2020-04-30 14:37:00,11
204,people18,Fast Food Restaurants,2020-04-30 15:32:00,29
205,people18,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 17:36:00,14
206,people18,Bakeries,2020-04-30 20:54:00,41
207,people18,Book Stores,2020-04-30 23:57:00,43
208,people18,Fast Food Restaurants,2020-05-01 00:39:00,14
209,people19,Book Stores,2020-04-30 09:00:00,67
210,people19,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:20:00,76
211,people19,Bakeries,2020-04-30 09:43:00,30
212,people19,"Grocery Stores, Supermarkets",2020-04-30 10:47:00,66
213,people19,Bakeries,2020-04-30 11:49:00,78
214,people19,Bakeries,2020-04-30 14:24:00,56
215,people19,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:25:00,61
216,people19,Fast Food Restaurants,2020-04-30 16:25:00,28
217,people19,Fast Food Restaurants,2020-04-30 17:06:00,25
218,people19,Fast Food Restaurants,2020-04-30 18:51:00,16
219,people19,Bakeries,2020-04-30 21:47:00,51
220,people20,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:00:00,44
221,people20,Drug Stores and Pharmacies,2020-04-30 10:35:00,55
222,people20,Drug Stores and Pharmacies,2020-04-30 11:58:00,13
223,people20,Drug Stores and Pharmacies,2020-04-30 12:06:00,20
224,people20,Drug Stores and Pharmacies,2020-04-30 13:45:00,69
225,people20,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 14:16:00,28
226,people20,"Grocery Stores, Supermarkets",2020-04-30 16:18:00,52
227,people20,Bakeries,2020-04-30 19:17:00,24
228,people20,Bakeries,2020-04-30 21:19:00,75
229,people20,Book Stores,2020-04-30 23:39:00,15
230,people20,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-05-01 01:19:00,51
231,people21,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,69
232,people21,Bakeries,2020-04-30 09:37:00,28
233,people21,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 10:32:00,52
234,people21,Bakeries,2020-04-30 12:26:00,15
235,people21,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:56:00,16
236,people21,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 16:43:00,10
237,people21,Bakeries,2020-04-30 18:56:00,45
238,people21,Book Stores,2020-04-30 19:47:00,79
239,people21,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 22:27:00,37
240,people21,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 01:09:00,20
241,people21,Book Stores,2020-05-01 03:21:00,65
242,people22,Bakeries,2020-04-30 09:00:00,23
243,people22,Drug Stores and Pharmacies,2020-04-30 10:38:00,41
244,people22,Drug Stores and Pharmacies,2020-04-30 13:38:00,49
245,people22,Drug Stores and Pharmacies,2020-04-30 16:27:00,32
246,people22,Drug Stores and Pharmacies,2020-04-30 17:25:00,21
247,people22,Drug Stores and Pharmacies,2020-04-30 17:51:00,53
248,people22,Drug Stores and Pharmacies,2020-04-30 19:04:00,39
249,people22,Fast Food Restaurants,2020-04-30 19:10:00,48
250,people22,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 21:12:00,29
251,people22,Bakeries,2020-04-30 21:24:00,57
252,people22,Drug Stores and Pharmacies,2020-04-30 22:37:00,24
253,people23,Fast Food Restaurants,2020-04-30 09:00:00,57
254,people23,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:11:00,79
255,people23,Drug Stores and Pharmacies,2020-04-30 11:02:00,34
256,people23,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 12:53:00,25
257,people23,Bakeries,2020-04-30 15:15:00,47
258,people23,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 16:49:00,66
259,people23,"Grocery Stores, Supermarkets",2020-04-30 17:21:00,43
260,people23,Drug Stores and Pharmacies,2020-04-30 18:44:00,39
261,people23,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 19:27:00,42
262,people23,Drug Stores and Pharmacies,2020-04-30 22:04:00,56
263,people23,Drug Stores and Pharmacies,2020-05-01 00:50:00,67
264,people24,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,53
265,people24,Fast Food Restaurants,2020-04-30 11:45:00,13
266,people24,Drug Stores and Pharmacies,2020-04-30 15:00:00,49
267,people24,Drug Stores and Pharmacies,2020-04-30 17:27:00,24
268,people24,"Grocery Stores, Supermarkets",2020-04-30 20:46:00,23
269,people24,"Grocery Stores, Supermarkets",2020-04-30 23:00:00,73
270,people24,Fast Food Restaurants,2020-05-01 01:49:00,75
271,people24,Fast Food Restaurants,2020-05-01 03:39:00,18
272,people24,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-05-01 05:52:00,26
273,people24,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 07:42:00,69
274,people24,"Grocery Stores, Supermarkets",2020-05-01 10:53:00,29
275,people25,Drug Stores and Pharmacies,2020-04-30 09:00:00,52
276,people25,Fast Food Restaurants,2020-04-30 09:48:00,36
277,people25,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 11:40:00,77
278,people25,Bakeries,2020-04-30 14:23:00,49
279,people25,Book Stores,2020-04-30 15:51:00,20
280,people25,Fast Food Restaurants,2020-04-30 17:59:00,61
281,people25,Bakeries,2020-04-30 18:51:00,42
282,people25,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 21:51:00,49
283,people25,Drug Stores and Pharmacies,2020-05-01 00:46:00,69
284,people25,"Grocery Stores, Supermarkets",2020-05-01 03:07:00,68
285,people25,Bakeries,2020-05-01 04:49:00,64
286,people26,Book Stores,2020-04-30 09:00:00,72
287,people26,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 11:06:00,58
288,people26,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 13:35:00,22
289,people26,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 13:43:00,72
290,people26,Drug Stores and Pharmacies,2020-04-30 14:31:00,31
291,people26,Bakeries,2020-04-30 17:38:00,53
292,people26,Book Stores,2020-04-30 19:32:00,37
293,people26,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 21:12:00,15
294,people26,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 21:36:00,12
295,people26,Drug Stores and Pharmacies,2020-05-01 00:55:00,32
296,people26,Bakeries,2020-05-01 02:32:00,78
297,people27,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:00:00,20
298,people27,"Grocery Stores, Supermarkets",2020-04-30 09:58:00,50
299,people27,Drug Stores and Pharmacies,2020-04-30 12:42:00,60
300,people27,Drug Stores and Pharmacies,2020-04-30 15:54:00,54
301,people27,Drug Stores and Pharmacies,2020-04-30 16:35:00,77
302,people27,Drug Stores and Pharmacies,2020-04-30 17:23:00,34
303,people27,Drug Stores and Pharmacies,2020-04-30 20:42:00,21
304,people27,Drug Stores and Pharmacies,2020-04-30 21:04:00,19
305,people27,"Grocery Stores, Supermarkets",2020-04-30 21:45:00,22
306,people27,Bakeries,2020-04-30 22:27:00,18
307,people27,Book Stores,2020-04-30 23:43:00,74
308,people28,"Grocery Stores, Supermarkets",2020-04-30 09:00:00,61
309,people28,Fast Food Restaurants,2020-04-30 10:26:00,75
310,people28,Bakeries,2020-04-30 13:20:00,12
311,people28,Book Stores,2020-04-30 15:12:00,52
312,people28,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 16:35:00,22
313,people28,Drug Stores and Pharmacies,2020-04-30 17:53:00,64
314,people28,Bakeries,2020-04-30 18:05:00,75
315,people28,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 20:44:00,64
316,people28,Fast Food Restaurants,2020-04-30 23:22:00,67
317,people28,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 01:31:00,41
318,people28,Drug Stores and Pharmacies,2020-05-01 03:03:00,21
319,people29,Bakeries,2020-04-30 09:00:00,61
320,people29,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 09:16:00,42
321,people29,Bakeries,2020-04-30 09:44:00,35
322,people29,"Grocery Stores, Supermarkets",2020-04-30 12:41:00,21
323,people29,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 15:32:00,29
324,people29,Bakeries,2020-04-30 16:36:00,14
325,people29,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 19:26:00,49
326,people29,Bakeries,2020-04-30 21:22:00,78
327,people29,Drug Stores and Pharmacies,2020-04-30 21:32:00,19
328,people29,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 23:58:00,48
329,people29,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 00:10:00,29
330,people30,Fast Food Restaurants,2020-04-30 09:00:00,63
331,people30,Fast Food Restaurants,2020-04-30 12:12:00,67
332,people30,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 13:43:00,49
333,people30,"Grocery Stores, Supermarkets",2020-04-30 14:51:00,15
334,people30,Drug Stores and Pharmacies,2020-04-30 15:11:00,52
335,people30,Book Stores,2020-04-30 17:12:00,19
336,people30,Bakeries,2020-04-30 19:44:00,48
337,people30,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 21:31:00,55
338,people30,Bakeries,2020-04-30 23:49:00,56
339,people30,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-05-01 03:08:00,69
340,people30,Fast Food Restaurants,2020-05-01 03:15:00,58
341,people31,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 09:00:00,29
342,people31,Drug Stores and Pharmacies,2020-04-30 09:48:00,49
343,people31,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 13:03:00,15
344,people31,Bakeries,2020-04-30 16:18:00,23
345,people31,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 17:47:00,45
346,people31,Fast Food Restaurants,2020-04-30 19:22:00,74
347,people31,Fast Food Restaurants,2020-04-30 20:38:00,44
348,people31,Fast Food Restaurants,2020-04-30 21:57:00,67
349,people31,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/Long Distance, Delivery Services – Local",2020-04-30 23:53:00,12
350,people31,Drug Stores and Pharmacies,2020-05-01 03:01:00,41
351,people31,Drug Stores and Pharmacies,2020-05-01 03:49:00,56
352,people32,Drug Stores and Pharmacies,2020-04-30 09:00:00,51
353,people32,"Grocery Stores, Supermarkets",2020-04-30 11:47:00,67
354,people32,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances",2020-04-30 14:34:00,27
355,people32,Bakeries,2020-04-30 14:45:00,54
356,people32,Drug Stores and Pharmacies,2020-04-30 17:16:00,16
357,people32,Drug Stores and Pharmacies,2020-04-30 20:33:00,18
358,people32,Drug Stores and Pharmacies,2020-04-30 20:50:00,37
359,people32,Drug Stores and Pharmacies,2020-04-30 22:47:00,31
360,people32,Drug Stores and Pharmacies,2020-05-01 01:43:00,79
361,people32,Drug Stores and Pharmacies,2020-05-01 02:43:00,66
362,people32,Drug Stores and Pharmacies,2020-05-01 03:33:00,60
363,people33,Book Stores,2020-04-30 09:00:00,37
